danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.713,0.839,4,-6.377,0,0.349,0.00417,0.706,0.106,0.0369,150.004,Dark Trap,,,,,,,,
0.449,0.645,4,-4.784,0,0.0366,0.00956,0.00846,0.107,0.0589,219.692,Dark Trap,,,,,,,,
0.923,0.94,9,-5.828,1,0.16,0.0204,9.67E-06,0.136,0.839,139.804,Dark Trap,,,,,,,,
0.832,0.802,11,-4.039,0,0.22,0.343,0.00361,0.139,0.178,220.012,Dark Trap,,,,,,,,
0.569,0.712,1,-4.911,0,0.347,0.378,3.41E-05,0.144,0.0711,157.231,Dark Trap,,,,,,,,
0.476,0.825,6,-3.941,1,0.0379,7.44E-05,6.51E-05,0.115,0.43,168.298,Dark Trap,,,,,,,,
0.403,0.696,10,-5.956,0,0.236,0.00114,0.265,0.0722,0.0696,179.998,Dark Trap,,,,,,,,
0.836,0.706,1,-4.065,1,0.0497,5.19E-05,0,0.0927,0.0374,120.045,Dark Trap,,,,,,,,
0.818,0.709,11,-4.425,1,0.269,0.00511,0,0.259,0.452,120.058,Dark Trap,,,,,,,,
0.849,0.522,1,-5.514,1,0.151,0.0019,0,0.209,0.0582,119.975,Dark Trap,,,,,,,,
0.703,0.536,11,-4.323,1,0.297,0.000883,0.0112,0.139,0.161,180.048,Dark Trap,,,,,,,,
0.708,0.298,7,-16.427,1,0.0578,0.698,0.772,0.304,0.118,124.863,Dark Trap,,,,,,,,
0.852,0.721,3,-7.4,0,0.0751,0.354,0.000645,0.11,0.803,136.07,Dark Trap,,,,,,,,
0.694,0.514,1,-11.063,0,0.0449,0.0336,0.000164,0.115,0.136,120.011,Dark Trap,,,,,,,,
0.595,0.333,6,-13.235,1,0.0416,0.474,0.0268,0.0998,0.105,124.993,Dark Trap,,,,,,,,
0.721,0.803,7,-9.115,0,0.0822,0.557,4.51E-05,0.109,0.175,161.502,Dark Trap,,,,,,,,
0.846,0.616,5,-7.82,1,0.0669,0.0129,0.00309,0.101,0.133,125.975,Dark Trap,,,,,,,,
0.76,0.576,1,-8.238,1,0.0491,0.11,3.41E-06,0.194,0.184,218.082,Dark Trap,,,,,,,,
0.529,0.817,8,-10.039,0,0.0945,0.0198,3.98E-05,0.178,0.181,120.01,Dark Trap,,,,,,,,
0.559,0.514,1,-8.78,1,0.0523,0.0203,0.000109,0.0982,0.0911,139.614,Dark Trap,,,,,,,,
0.965,0.59,5,-8.639,0,0.0619,0.607,0,0.0917,0.462,129.004,Dark Trap,,,,,,,,
0.596,0.881,4,-4.566,0,0.269,0.00319,2.37E-06,0.0798,0.235,172.139,Dark Trap,,,,,,,,
0.712,0.982,1,-2.386,1,0.289,0.0127,0,0.147,0.549,208.096,Dark Trap,,,,,,,,
0.697,0.873,4,-3.189,1,0.206,0.137,0,0.22,0.545,132.999,Dark Trap,,,,,,,,
